one sex is.coatW is.cpp.box7 is.cpp.box8 is.cpp.box11 is.cpp.box12
1 1 1 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 1
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 1 1 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 1 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 0 1 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 1 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 1 0
1 1 0 0 0 0 0
1 0 0 1 0 0 0
1 0 1 0 0 0 0
1 0 0 1 0 0 0
1 1 0 0 0 0 0
1 0 1 0 0 0 0
1 0 0 0 0 1 0
1 0 0 0 0 0 0
1 1 0 1 0 0 0
1 0 1 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 1 1 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 1 0
1 1 0 0 0 0 0
1 0 1 0 1 0 0
1 0 0 0 0 0 0
1 0 1 0 1 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 1 0
1 0 1 0 0 0 0
1 0 1 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 1 1 0 0 0 0
1 1 0 0 1 0 0
1 0 0 0 0 0 0
1 1 1 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 1 0
1 1 1 0 0 0 0
1 1 0 0 0 1 0
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 1 0 0 0
1 1 1 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 1
1 0 0 0 0 0 1
1 0 1 0 0 0 0
1 1 1 0 0 0 0
1 1 1 0 0 0 0
1 0 1 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 0 0 1 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 0 1 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 1 1 0 0 0 0
1 1 1 0 0 0 0
1 1 0 0 0 0 0
1 0 1 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 1 1 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 1 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 0 1
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 1 0 0
1 1 1 0 0 0 0
1 1 0 0 0 0 0
1 0 1 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 1 0
1 0 0 0 1 0 0
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 1 1 0 0 0 0
1 1 1 0 0 0 1
1 1 1 0 0 0 0
1 0 0 0 0 0 1
1 0 1 0 0 0 1
1 1 1 0 0 0 0
1 0 0 0 0 1 0
1 0 1 0 0 0 0
1 0 0 0 0 0 0
1 0 1 0 0 0 0
1 0 0 0 0 1 0
1 1 1 0 0 0 0
1 1 0 0 0 0 0
1 1 1 0 0 0 0
1 0 1 0 0 0 0
1 1 1 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 1
1 0 0 0 0 0 0
1 0 0 1 0 0 0
1 0 0 0 1 0 0
1 0 0 0 0 0 0
1 0 0 0 1 0 0
1 0 0 0 0 0 0
1 0 1 0 0 0 0
1 1 1 0 0 0 0
1 0 1 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 1 1 1 0 0 0
1 0 0 0 0 0 1
1 0 0 0 0 0 1
1 1 0 0 0 0 0
1 1 1 0 0 0 0
1 0 0 0 0 1 0
1 0 0 0 0 0 0
1 0 0 0 1 0 0
1 0 1 0 0 0 0
1 0 0 0 0 0 0
1 0 1 0 0 0 0
1 1 1 0 0 0 0
1 1 1 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 0 1 0 1 0 0
1 1 1 0 0 0 0
1 1 1 0 0 0 0
1 1 0 0 0 0 0
1 1 0 1 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 0 1 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 1 1 0 0 0 0
1 1 0 1 0 0 0
1 0 1 0 0 0 0
1 1 0 0 0 1 0
1 1 1 0 0 0 1
1 1 1 0 0 0 0
1 0 1 0 0 0 0
1 0 0 0 0 0 1
1 1 0 0 0 0 0
1 0 0 0 1 0 0
1 0 1 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 0 1 0 0 0 0
1 0 0 0 0 0 0
1 1 1 0 1 0 0
1 0 0 0 0 1 0
1 1 0 0 0 0 0
1 0 1 1 0 0 0
1 0 0 1 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 0 1 0 0 0 0
1 1 0 1 0 0 0
1 0 0 0 0 0 0
1 1 1 0 0 0 0
1 0 0 0 0 0 0
1 1 1 1 0 0 0
1 0 1 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 0 1 0 0 0 0
1 0 1 0 0 0 0
1 1 1 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 1 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 0 0 1 0 0 0
1 0 0 1 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 1 1 0 0 0 0
1 1 0 0 0 0 0
1 0 1 1 0 0 0
1 1 1 1 0 0 0
1 1 1 0 0 0 0
1 0 0 0 1 0 0
1 0 0 0 0 0 1
1 1 0 0 0 0 0
1 1 1 0 1 0 0
1 1 0 0 0 0 0
1 0 0 0 1 0 0
1 0 1 0 0 1 0
1 0 1 0 1 0 0
1 0 0 0 0 0 0
1 1 1 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 0 1 0 0 0 0
1 1 0 0 0 0 0
1 1 1 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 1 1 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 1 0 0
1 1 0 0 0 0 0
1 1 1 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 1 0
1 1 0 0 0 0 1
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 1 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 1 1 0 0 0 0
1 0 1 0 0 1 0
1 0 1 0 0 0 0
1 1 0 0 1 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 1 0 0
1 0 1 0 0 0 0
1 1 0 0 0 0 0
1 1 1 0 0 0 0
1 0 1 0 1 0 0
1 1 0 0 0 0 0
1 0 1 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 1 1 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 1 1 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 1 1 0 0 0 0
1 0 0 1 0 0 0
1 1 0 1 0 0 0
1 1 0 0 0 0 0
1 0 1 0 0 0 0
1 1 0 0 0 1 0
1 1 0 0 0 0 0
1 0 1 0 0 0 0
1 0 0 0 0 0 0
1 0 1 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 0 1 0 0 0 0
1 0 1 0 0 1 0
1 1 0 0 1 0 0
1 0 0 0 0 0 0
1 1 0 1 0 0 0
1 0 1 0 0 0 0
1 1 1 1 0 0 0
1 0 1 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 1
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 1 1 0 0 0 0
1 1 1 0 1 0 0
1 1 0 0 1 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 1 1 0 0 0 0
1 0 0 1 0 0 0
1 0 0 0 1 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 1 1 0 0 0 1
1 1 0 0 0 1 0
1 1 1 0 0 0 0
1 1 0 0 0 1 0
1 0 0 0 0 0 0
1 1 1 0 0 0 0
1 1 1 0 0 0 1
1 1 0 0 0 0 0
1 1 1 0 0 0 1
1 0 1 0 0 0 0
1 0 1 0 0 0 0
1 1 1 0 0 0 0
1 0 1 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 0 1 0 0 1 0
1 1 1 0 0 0 0
1 0 1 0 0 0 0
1 1 0 0 0 0 0
1 1 1 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 1 1 0 0 0 0
1 0 0 0 0 1 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 1
1 1 0 0 0 0 0
1 1 0 0 1 0 0
1 0 0 0 0 0 0
1 0 0 1 0 0 0
1 1 0 1 0 0 0
1 1 0 0 1 0 0
1 0 0 0 1 0 0
1 0 1 0 0 0 0
1 1 0 1 0 0 0
1 0 1 0 0 1 0
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 1 0 0
1 0 0 0 0 0 0
1 0 1 0 0 0 0
1 1 0 0 1 0 0
1 1 0 0 0 0 0
1 1 1 1 0 0 0
1 1 0 0 0 0 1
1 1 0 0 0 0 0
1 0 1 1 0 0 0
1 0 1 0 0 0 0
1 0 0 0 1 0 0
1 1 1 0 0 0 0
1 1 0 0 0 0 0
1 0 1 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 0 0 1 0 0 0
1 1 1 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 1 0
1 1 0 1 0 0 0
1 1 1 0 0 0 0
1 0 1 0 1 0 0
1 0 0 0 1 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 1 0 0
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 0 1 0 0 0 0
1 0 1 0 0 0 0
1 1 0 0 0 0 0
1 1 1 0 0 0 1
1 0 0 0 0 0 0
1 1 1 1 0 0 0
1 1 1 0 0 0 0
1 0 1 0 0 0 0
1 1 1 0 0 0 0
1 1 0 0 0 0 0
1 1 1 0 0 0 0
1 0 1 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 0 1 0 0 0 0
1 1 0 0 0 1 0
1 0 0 0 0 0 0
1 0 0 1 0 0 0
1 1 0 0 0 0 0
1 0 0 1 0 0 0
1 1 0 0 0 0 0
1 1 1 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 0 1 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 1 0 0
1 0 0 0 0 0 0
1 0 1 0 0 0 1
1 1 0 0 0 1 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 1 1 1 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 1 0
1 0 1 0 0 0 1
1 0 0 0 0 1 0
1 0 0 1 0 0 0
1 0 0 0 0 0 0
1 1 1 0 0 1 0
1 1 0 0 0 0 1
1 0 1 1 0 0 0
1 1 0 0 0 0 1
1 1 0 1 0 0 0
1 0 1 0 1 0 0
1 0 0 0 0 0 0
1 0 1 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 1 1 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 0 1 0 0 1 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 1 1 0 0 0 0
1 1 0 0 0 0 0
1 0 0 1 0 0 0
1 1 0 0 0 0 1
1 1 1 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 0 1 0 0 0 0
1 1 0 0 0 0 1
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 1 1 0 0 0 0
1 1 1 0 0 0 0
1 1 1 0 0 0 0
1 0 1 0 0 0 0
1 0 0 0 0 0 0
1 0 1 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 1 1 0 0 1 0
1 1 0 0 0 0 1
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 1 0
1 1 1 0 0 0 1
1 0 0 1 0 0 0
1 1 0 0 0 0 0
1 1 1 0 0 0 0
1 1 1 0 0 0 0
1 1 0 0 0 0 0
1 0 0 1 0 0 0
1 1 1 0 0 0 0
1 1 1 0 0 1 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 1 0 1 0 0 0
1 1 0 0 0 0 0
1 0 1 1 0 0 0
1 1 1 0 0 0 0
1 0 0 0 0 0 0
1 0 1 1 0 0 0
1 0 0 0 1 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 1 0 0
1 1 0 0 0 0 0
1 1 1 0 0 0 0
1 0 0 0 1 0 0
1 1 0 0 0 0 1
1 1 1 0 0 1 0
1 1 0 0 0 1 0
1 0 0 0 0 0 1
1 1 1 0 1 0 0
1 1 1 0 0 0 0
1 0 0 0 0 0 1
1 1 1 0 0 1 0
1 0 1 0 0 0 0
1 0 1 0 0 1 0
1 1 1 0 1 0 0
1 1 0 1 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 1 0 1 0 0 0
1 0 0 0 0 0 0
1 0 1 0 0 0 0
1 0 1 0 0 0 1
1 0 1 0 0 0 0
1 1 0 0 1 0 0
1 0 1 0 0 0 0
1 0 1 0 0 0 0
1 0 0 0 0 0 0
1 1 1 0 0 0 0
1 1 1 1 0 0 0
1 1 0 0 0 0 0
1 0 1 0 1 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 1 1 0 0 0 0
1 1 0 0 0 0 0
1 0 1 0 0 0 0
1 1 1 0 0 0 0
1 1 0 1 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 0 1 1 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 1 1 0 0 0 0
1 1 0 0 0 0 0
1 1 1 0 0 0 0
1 1 0 1 0 0 0
1 0 0 0 0 1 0
1 1 1 0 0 0 0
1 1 0 0 0 0 0
1 1 1 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 0 1 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 1 1 0 0 0 0
1 0 1 0 0 1 0
1 0 1 0 0 0 0
1 1 0 0 0 0 0
1 1 1 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 1 1 0 0 0 0
1 1 0 0 0 0 1
1 0 0 0 0 0 0
1 0 1 1 0 0 0
1 1 1 0 0 0 0
1 1 1 0 0 0 0
1 0 0 0 0 0 0
1 0 1 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 1 0
1 1 1 0 0 0 0
1 1 0 0 1 0 0
1 1 1 0 0 0 0
1 0 1 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 0 1 0 0 0 1
1 0 0 1 0 0 0
1 0 1 0 0 0 0
1 0 0 0 0 0 0
1 1 1 0 0 0 0
1 1 1 0 1 0 0
1 0 1 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 1 0
1 1 0 0 1 0 0
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 1 0
1 0 1 0 1 0 0
1 0 0 0 0 1 0
1 0 1 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 0 0 1 0 0 0
1 1 1 0 0 0 0
1 1 1 0 0 0 0
1 1 0 0 0 0 0
1 1 1 0 1 0 0
1 0 0 0 0 0 0
1 1 0 1 0 0 0
1 0 1 1 0 0 0
1 1 1 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 1 0 0
1 1 0 0 0 0 0
1 1 0 0 1 0 0
1 1 1 0 0 0 0
1 0 1 0 0 0 1
1 0 0 0 1 0 0
1 1 1 0 0 0 0
1 1 1 0 0 1 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 0 1 1 0 0 0
1 1 1 0 0 0 0
1 1 1 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 1
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 0 1 0 0 0 0
1 0 1 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 1 0 0
1 0 0 0 1 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 1
1 0 0 1 0 0 0
1 0 0 0 0 0 0
1 1 1 0 0 0 0
1 0 0 0 0 0 0
1 1 0 1 0 0 0
1 0 1 0 0 0 0
1 0 1 0 0 0 0
1 0 1 0 0 0 0
1 1 1 0 0 0 0
1 0 0 1 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 0 1 0 0 0 0
1 1 0 1 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 0 0 1 0 0 0
1 0 1 0 0 0 0
1 0 1 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 1 0
1 0 0 1 0 0 0
1 0 1 0 0 0 0
1 1 1 0 0 0 0
1 1 1 0 0 1 0
1 1 0 0 0 0 0
1 1 1 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 1
1 1 0 0 0 0 0
1 0 1 0 0 0 1
1 0 0 0 0 0 0
1 0 1 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 1 0
1 1 0 0 0 0 0
1 0 1 0 0 0 0
1 0 1 0 0 0 0
1 1 0 0 0 0 0
1 0 1 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 1
1 1 1 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 0 1
1 0 0 0 0 0 0
1 0 1 0 0 0 0
1 0 1 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 0 1 0 0 0 0
1 0 1 0 0 0 1
1 0 1 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 1
1 0 0 0 1 0 0
1 1 1 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 0 0 1 0 0 0
1 0 1 0 0 1 0
1 1 1 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 1 0 0
1 0 0 0 1 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 0 1 0 0 0 0
1 1 1 0 0 0 0
1 1 1 0 0 0 0
1 0 0 0 0 0 0
1 1 0 1 0 0 0
1 0 0 0 1 0 0
1 0 0 0 0 0 0
1 1 0 1 0 0 0
1 0 1 0 0 0 0
1 1 0 0 0 1 0
1 1 1 0 0 0 0
1 1 0 0 1 0 0
1 1 1 0 0 0 0
1 0 0 0 0 1 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 1
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 1 0
1 0 0 0 0 0 0
1 1 1 0 0 0 0
1 1 0 0 1 0 0
1 0 1 1 0 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 0 1 0 0 0 1
1 1 1 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 1 1 0 0 1 0
1 1 0 0 1 0 0
1 1 0 0 1 0 0
1 0 1 0 1 0 0
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 1 0 1 0 0 0
1 0 0 0 0 1 0
1 1 0 0 0 0 0
1 1 1 0 0 0 0
1 0 1 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 0 1 0 1 0 0
1 1 1 0 0 0 0
1 0 0 0 0 0 0
1 0 1 0 1 0 0
1 0 0 1 0 0 0
1 1 0 0 0 0 0
1 1 1 0 0 0 0
1 1 0 1 0 0 0
1 1 0 1 0 0 0
1 1 1 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 1
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 0 1 0 0 0 0
1 1 0 1 0 0 0
1 0 0 0 0 0 0
1 1 0 0 1 0 0
1 0 0 0 0 0 0
1 1 0 0 1 0 0
1 1 0 0 0 0 1
1 1 0 0 0 0 0
1 0 1 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 1 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 0 0
1 0 1 0 0 0 0
1 0 0 0 1 0 0
1 1 0 0 0 0 0
1 0 1 0 1 0 0
1 1 0 0 0 0 0
1 1 1 1 0 0 0
1 0 0 1 0 0 0
1 1 1 0 0 0 0
1 1 0 0 0 0 1
1 0 1 0 0 0 0
1 1 0 1 0 0 0
1 0 0 0 1 0 0
1 1 1 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 1 0
1 0 1 0 0 0 0
1 1 0 0 0 0 0
1 0 0 0 0 0 0
1 0 1 0 0 0 0
1 1 0 0 0 0 0
1 1 0 0 0 1 0
1 1 0 1 0 0 0
1 0 0 1 0 0 0
1 1 0 0 0 0 0
1 0 0 1 0 0 0
1 1 0 0 0 0 0
1 0 1 0 0 1 0
1 0 0 0 0 1 0
1 1 0 0 0 0 0
1 0 1 0 0 0 1
